101:119,113,102,104,114
102:108,113,103,101,114
103:108,102,114,113,107
104:119,101,113,102,108
107:108,102,103,113,101
108:103,102,113,114,107
113:102,101,108,114,103
114:103,102,108,101,113
119:101,104,113,1002,209
120:119,101,104,113,108
202:209,203,1002,101,208
203:202,209,108,1001,119
205:208,202,209,101,402
206:102,101,108,114,202
207:202,209,119,203,101
208:202,209,309,1002,302
209:202,101,119,1002,203
210:211,212,108,203,202
211:212,108,210,203,103
212:108,203,211,209,102
213:212,113,209,203,1107
301:302,309,315,318,314
302:309,315,308,318,301
303:309,302,314,315,317
304:309,1005,315,1002,1205
308:309,314,302,315,318
309:315,302,314,308,303
314:309,315,308,302,303
315:309,302,314,308,301
316:309,314,301,303,315
317:309,303,315,518,314
318:302,309,308,301,315
319:314,315,309,308,302
401:407,404,402,403,405
402:411,407,416,410,408
403:119,101,406,404,412
404:407,416,413,408,402
405:407,410,404,402,411
406:403,412,119,404,402
407:404,408,416,411,402
408:407,411,402,404,416
409:407,416,404,402,408
410:402,411,407,308,404
411:407,402,410,408,308
412:1201,413,1209,1202,403
413:404,412,407,416,403
414:1201,703,711,412,405
415:402,411,407,412,410
416:407,404,402,409,408
501:101,119,502,113,1002
502:101,501,114,206,102
504:113,102,812,101,108
505:119,101,501,518,108
509:1002,611,1109,1006,108
510:102,101,113,108,518
511:114,103,102,108,101
512:102,206,502,209,101
513:108,102,1307,113,103
518:309,303,317,318,302
522:704,108,101,601,610
523:518,309,302,101,315
524:101,518,309,1002,208
601:113,602,611,101,609
602:601,611,606,610,609
603:611,606,602,609,601
604:108,611,602,812,609
605:602,601,610,609,611
606:611,602,609,601,603
609:611,601,108,606,602
610:102,113,108,601,602
611:509,1002,601,609,1109
702:704,119,711,101,104
703:711,715,704,708,702
704:702,713,711,119,708
705:710,714,711,709,104
708:711,702,704,119,709
709:119,104,711,101,702
710:104,714,705,119,101
711:703,702,708,704,709
712:702,710,104,119,1109
713:704,702,711,522,708
714:108,710,1202,705,104
715:703,108,710,412,711
807:812,1103,315,1001,1007
808:812,108,102,315,309
809:302,308,315,309,518
810:108,102,610,113,812
812:108,102,1309,604,1307
813:1103,113,309,1001,203
901:905,902,904,906,909
902:905,901,904,1208,318
903:308,906,905,302,904
904:905,906,303,901,309
905:902,901,904,906,903
906:905,904,309,903,901
908:101,902,905,901,102
909:905,902,901,906,102
1001:1003,1002,1006,202,1004
1002:1006,101,119,1001,1003
1003:1001,309,1002,1006,102
1004:1001,1007,1003,315,202
1005:119,101,1002,209,203
1006:1002,1001,1003,102,108
1007:1001,1004,315,1008,1003
1008:1001,1007,1004,315,1003
1101:1108,1109,1107,108,203
1102:108,107,1109,1108,1307
1103:315,1001,309,203,906
1104:1103,1007,1001,906,315
1105:302,308,309,315,1001
1107:1112,1108,203,1109,108
1108:1109,1107,1002,107,108
1109:1108,1002,108,107,509
1110:1108,1109,119,1103,203
1111:1307,108,203,1305,1101
1112:1107,1108,108,203,309
1113:1107,315,108,1103,604
1201:1209,1202,1207,1203,1204
1202:1209,1201,1207,1203,1204
1203:1209,1201,1202,1207,1208
1204:1201,1202,1209,1207,1203
1205:1005,304,1203,1207,1209
1207:1209,1201,1202,1203,1208
1208:1203,902,1209,1201,1207
1209:1201,1202,1207,1203,1208
1301:1307,1309,1305,1304,1306
1302:1111,1305,108,1307,203
1303:1307,108,1309,317,518
1304:1309,1307,1305,1308,108
1305:1307,1309,108,1111,103
1306:1307,1309,1308,518,317
1307:108,102,1309,1305,103
1308:1307,1309,1306,108,102
1309:1307,1305,108,1306,1308
